Trial 3 power 1 (W),time (seconds since jan 1 1975),Trial 3 power 2 (W),time (seconds since jan 1 1975),Sdifference
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367025,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367025,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367025,3.49E-05,1750367025,-2.49E-01
2.10E-05,1750367025,3.49E-05,1750367025,-2.49E-01
2.10E-05,1750367025,3.49E-05,1750367025,-2.49E-01
2.10E-05,1750367025,3.49E-05,1750367025,-2.49E-01
2.10E-05,1750367025,3.49E-05,1750367025,-2.49E-01
2.10E-05,1750367025,3.50E-05,1750367025,-2.50E-01
2.09E-05,1750367025,3.49E-05,1750367025,-2.51E-01
2.10E-05,1750367025,3.49E-05,1750367025,-2.49E-01
2.10E-05,1750367025,3.50E-05,1750367025,-2.50E-01
2.10E-05,1750367025,3.49E-05,1750367025,-2.49E-01
2.10E-05,1750367025,3.50E-05,1750367025,-2.50E-01
2.10E-05,1750367025,3.49E-05,1750367025,-2.49E-01
2.10E-05,1750367026,3.50E-05,1750367025,-2.50E-01
2.09E-05,1750367026,3.49E-05,1750367025,-2.51E-01
2.09E-05,1750367026,3.49E-05,1750367026,-2.51E-01
2.09E-05,1750367026,3.50E-05,1750367026,-2.52E-01
2.10E-05,1750367026,3.50E-05,1750367026,-2.50E-01
2.10E-05,1750367026,3.50E-05,1750367026,-2.50E-01
2.10E-05,1750367026,3.50E-05,1750367026,-2.50E-01
2.10E-05,1750367026,3.50E-05,1750367026,-2.50E-01
2.10E-05,1750367026,3.50E-05,1750367026,-2.50E-01
2.10E-05,1750367026,3.50E-05,1750367026,-2.50E-01
