Time[date hh:mm:ss], Elapsed Time [hh:mm:ss:ms], Normalized s 1 , Normalized s 2 , Normalized s 3 , S 0 [mW], S 1 [mW], S 2 [mW], S 3 [mW], Azimuth[°] , Ellipticity[°] , DOP[%] , DOCP[%] , DOLP[%] , Power[mW] , Pol Power[mW] , Unpol Power[mW] , Power[dBm] , Pol Power[dBm] , Unpol Power[dBm] , Power-Split-Ratio , Phase Difference[°] ,
49:19.7,0.00:07:35:045,-0.94,-0.18,-0.29,0.02355,-0.01466,-0.002885,-0.004503,-84.43,-8.39,66.26,19.12,63.44,0.02355,0.0156,0.007945,-16.281,-18.069,-20.999,0.03,-122.65,
49:19.7,0.00:07:35:078,-0.94,-0.18,-0.29,0.02353,-0.01463,-0.002877,-0.004514,-84.44,-8.42,66.23,19.19,63.39,0.02353,0.01558,0.007945,-16.284,-18.074,-20.999,0.03,-122.51,
49:19.7,0.00:07:35:110,-0.94,-0.19,-0.29,0.02353,-0.01464,-0.002886,-0.00452,-84.43,-8.42,66.29,19.21,63.44,0.02353,0.01559,0.007932,-16.284,-18.07,-21.006,0.03,-122.56,
49:19.8,0.00:07:35:145,-0.94,-0.18,-0.29,0.02352,-0.01464,-0.002874,-0.004529,-84.45,-8.44,66.3,19.26,63.44,0.02352,0.01559,0.007924,-16.286,-18.071,-21.011,0.03,-122.4,
49:19.8,0.00:07:35:176,-0.94,-0.18,-0.29,0.02351,-0.01463,-0.002872,-0.00454,-84.45,-8.47,66.31,19.31,63.44,0.02351,0.01559,0.007919,-16.288,-18.072,-21.013,0.03,-122.31,
49:19.8,0.00:07:35:208,-0.94,-0.18,-0.29,0.0235,-0.01463,-0.002868,-0.00455,-84.46,-8.48,66.33,19.36,63.45,0.0235,0.01559,0.007913,-16.289,-18.072,-21.017,0.03,-122.23,
49:19.9,0.00:07:35:255,-0.94,-0.18,-0.29,0.02349,-0.01463,-0.00286,-0.004561,-84.47,-8.51,66.34,19.41,63.44,0.02349,0.01559,0.007907,-16.291,-18.073,-21.02,0.03,-122.09,
49:19.9,0.00:07:35:280,-0.94,-0.18,-0.29,0.02349,-0.01462,-0.002862,-0.004566,-84.46,-8.52,66.34,19.44,63.43,0.02349,0.01558,0.007906,-16.291,-18.074,-21.021,0.03,-122.08,
49:20.0,0.00:07:35:310,-0.94,-0.18,-0.29,0.02348,-0.01461,-0.002851,-0.004578,-84.48,-8.55,66.34,19.5,63.41,0.02348,0.01558,0.007902,-16.293,-18.075,-21.022,0.03,-121.91,
49:20.0,0.00:07:35:347,-0.94,-0.18,-0.29,0.02347,-0.01461,-0.002845,-0.004589,-84.49,-8.57,66.36,19.55,63.41,0.02347,0.01558,0.007897,-16.294,-18.075,-21.025,0.03,-121.79,
49:20.0,0.00:07:35:380,-0.94,-0.18,-0.29,0.02347,-0.01461,-0.002852,-0.004595,-84.48,-8.58,66.37,19.58,63.42,0.02347,0.01558,0.007892,-16.295,-18.075,-21.028,0.03,-121.82,
49:20.0,0.00:07:35:411,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002846,-0.004609,-84.48,-8.61,66.37,19.64,63.4,0.02346,0.01557,0.00789,-16.297,-18.077,-21.029,0.03,-121.7,
49:20.1,0.00:07:35:451,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002846,-0.004615,-84.48,-8.62,66.38,19.67,63.4,0.02346,0.01557,0.007886,-16.297,-18.076,-21.031,0.03,-121.66,
49:20.1,0.00:07:35:480,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002854,-0.004626,-84.47,-8.63,66.41,19.71,63.41,0.02346,0.01558,0.007882,-16.296,-18.074,-21.033,0.03,-121.68,
49:20.1,0.00:07:35:512,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002869,-0.004636,-84.44,-8.65,66.42,19.76,63.41,0.02346,0.01558,0.007879,-16.296,-18.074,-21.035,0.03,-121.75,
49:20.2,0.00:07:35:547,-0.94,-0.18,-0.3,0.02347,-0.01461,-0.002856,-0.004644,-84.47,-8.66,66.44,19.79,63.42,0.02347,0.01559,0.007876,-16.295,-18.071,-21.037,0.03,-121.59,
49:20.2,0.00:07:35:579,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002858,-0.004651,-84.46,-8.68,66.44,19.82,63.42,0.02346,0.01559,0.007874,-16.296,-18.072,-21.038,0.03,-121.57,
49:20.2,0.00:07:35:617,-0.94,-0.18,-0.3,0.02347,-0.0146,-0.002865,-0.004654,-84.45,-8.68,66.45,19.83,63.42,0.02347,0.01559,0.007874,-16.295,-18.071,-21.038,0.03,-121.61,
