Trial 2power 1 (W),time (seconds since jan 1 1975),Trial 2power 2 (W),time (seconds since jan 1 1975),Sdifference
2.10E-05,1750366827,3.49E-05,1750366827,-2.49E-01
2.10E-05,1750366827,3.49E-05,1750366827,-2.49E-01
2.10E-05,1750366827,3.49E-05,1750366827,-2.49E-01
2.10E-05,1750366827,3.49E-05,1750366827,-2.49E-01
2.10E-05,1750366827,3.49E-05,1750366827,-2.49E-01
2.10E-05,1750366827,3.48E-05,1750366827,-2.47E-01
2.10E-05,1750366827,3.48E-05,1750366827,-2.47E-01
2.10E-05,1750366827,3.48E-05,1750366827,-2.47E-01
2.10E-05,1750366828,3.48E-05,1750366827,-2.47E-01
2.10E-05,1750366828,3.48E-05,1750366828,-2.47E-01
2.10E-05,1750366828,3.49E-05,1750366828,-2.49E-01
2.10E-05,1750366828,3.49E-05,1750366828,-2.49E-01
2.10E-05,1750366828,3.49E-05,1750366828,-2.49E-01
2.10E-05,1750366828,3.49E-05,1750366828,-2.49E-01
2.10E-05,1750366828,3.49E-05,1750366828,-2.49E-01
2.10E-05,1750366828,3.49E-05,1750366828,-2.49E-01
2.10E-05,1750366828,3.49E-05,1750366828,-2.49E-01
2.10E-05,1750366828,3.48E-05,1750366828,-2.47E-01
2.10E-05,1750366828,3.48E-05,1750366828,-2.47E-01
2.10E-05,1750366828,3.48E-05,1750366828,-2.47E-01
2.10E-05,1750366828,3.48E-05,1750366828,-2.47E-01
2.10E-05,1750366828,3.48E-05,1750366828,-2.47E-01
2.10E-05,1750366829,3.48E-05,1750366828,-2.47E-01
2.10E-05,1750366829,3.48E-05,1750366828,-2.47E-01
2.10E-05,1750366829,3.48E-05,1750366829,-2.47E-01
2.10E-05,1750366829,3.48E-05,1750366829,-2.47E-01
2.10E-05,1750366829,3.48E-05,1750366829,-2.47E-01
2.11E-05,1750366829,3.48E-05,1750366829,-2.45E-01
2.11E-05,1750366829,3.48E-05,1750366829,-2.45E-01
2.11E-05,1750366829,3.48E-05,1750366829,-2.45E-01
2.11E-05,1750366829,3.48E-05,1750366829,-2.45E-01
